square,price,address
200 m²,1 650 893 429 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 04:22"
645 m²,3 619 266 363 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 04:22"
600 m²,4 952 680 286 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 04:22"
300 m²,2 184 258 998 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 04:22"
42 m²,647 658 191 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 03:56"
6.30 m²,317 479 506 so’m,"Toshkent, Chilonzor tumani - Bugunda 03:55"
400 m²,1 803 283 591 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 09:01"
2 m²,685 755 732 so’m,Nazarbek - Bugunda 03:39
4 000 m²,3 047 803 253 so’m,"Toshkent, Yashnobod tumani - 2025-07-01"
600 m²,2 285 852 440 so’mKelishilgan,"Toshkent, Olmazor tumani - 2025-06-30"
55 m²,1 650 893 429 so’mKelishilgan,"Toshkent, Mirobod tumani - 2025-06-29"
600 m²,1 269 918 022 so’m,Jizzax - Bugunda 03:35
870 m²,1 231 820 481 so’mKelishilgan,G'ijduvon - Bugunda 03:30
320 m²,2 920 811 451 so’mKelishilgan,Mirobod - Bugunda 03:19
700 m²,17 778 852 309 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 03:01"
400 m²,571 463 110 so’mKelishilgan,Durmen - Bugunda 02:56
300 m²,2 603 331 945 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 02:48"
370 m²,2 793 819 649 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 02:44"
456 m²,2 984 307 352 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 02:40"
3.40 m²,2 349 348 341 so’m,"Toshkent, Yashnobod tumani - Bugunda 02:37"
15 m²,1 841 381 132 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 02:31"
100 m²,1 396 909 824 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 02:26"
100 m²,660 357 371 so’mKelishilgan,Nazarbek - Bugunda 02:07
200 m²,3 555 770 462 so’m,"Toshkent, Mirobod tumani - Bugunda 02:03"
1 000 m²,5 841 622 902 so’mKelishilgan,"Toshkent, Uchtepa tumani - Bugunda 01:53"
450 m²,1 269 918 022 so’mKelishilgan,Yangiyo'l - Bugunda 01:47
1 m²,4 317 721 275 so’m,"Toshkent, Mirobod tumani - Bugunda 01:45"
600 m²,1 777 885 231 so’m,"Toshkent, Bektemir tumani - Bugunda 01:44"
