square,price,address
200.0,1130227040,Bektemir
400.0,4889184385,Yunusobod
58.0,463520078,Mirobod
650.0,8762434352,Mirzo-Ulug‘bek
320.0,2539836044,Olmazor
180.0,4444713077,Mirzo-Ulug‘bek
80.0,825446714,Yakkasaroy
49.0,584162290,Sirg‘ali
130.0,4063737671,Mirzo-Ulug‘bek
500.0,6095606506,Mirzo-Ulug‘bek
400.0,5714631099,Shayxontohur
300.0,3809754066,Mirzo-Ulug‘bek
215.0,2260454079,Sirg‘ali
800.0,2539836044,Yunusobod
350.0,4190729473,Chilonzor
